"OFFICE_ID","DESCRIPTION","LONGITUDE_X","LATUTUDE_Y"
"E02000751","Redbridge 001",0.028575,51.611975
"E02000756","Redbridge 006",0.083461,51.601220
"E02000757","Redbridge 007",0.022000,51.597601
"E02000759","Redbridge 009",0.035204,51.595151
"E02000764","Redbridge 014",0.022979,51.582260
"E02000769","Redbridge 019",0.123205,51.574977
"E02000780","Redbridge 030",0.081010,51.555823
"E02000781","Redbridge 031",0.096591,51.553953
"E02000786","Richmond upon Thames 003",-0.253662,51.468991
"E02000787","Richmond upon Thames 004",-0.284633,51.468612
"E02000798","Richmond upon Thames 015",-0.354811,51.442110
"E02000805","Richmond upon Thames 022",-0.317064,51.420288
"E02000806","Richmond upon Thames 023",-0.371041,51.417481
"E02000807","Southwark 001",-0.043865,51.503295
"E02000808","Southwark 002",-0.096129,51.502564
"E02000809","Southwark 003",-0.076210,51.500980
"E02000810","Southwark 004",-0.069400,51.497459
"E02000812","Southwark 006",-0.086093,51.497571
"E02000813","Southwark 007",-0.052335,51.497600
"E02000814","Southwark 008",-0.037266,51.496225
"E02000816","Southwark 010",-0.064390,51.490560
"E02000820","Southwark 014",-0.102617,51.488236
"E02000827","Southwark 021",-0.096866,51.476910
"E02000829","Southwark 023",-0.057419,51.473601
"E02000832","Southwark 026",-0.059430,51.464885
"E02000850","Sutton 011",-0.132209,51.367496
"E02000864","Tower Hamlets 001",-0.029442,51.534978
"E02000866","Tower Hamlets 003",-0.036135,51.530918
"E02000867","Tower Hamlets 004",-0.024407,51.530397
"E02000871","Tower Hamlets 008",-0.015440,51.525713
"E02000873","Tower Hamlets 010",-0.042362,51.525240
"E02000875","Tower Hamlets 012",-0.022018,51.522299
"E02000877","Tower Hamlets 014",-0.029184,51.519605
"E02000878","Tower Hamlets 015",-0.070312,51.518832
"E02000884","Tower Hamlets 021",-0.065366,51.514111
"E02000887","Tower Hamlets 024",-0.022336,51.511306
"E02000888","Tower Hamlets 025",-0.051807,51.510658
"E02000891","Tower Hamlets 028",-0.007135,51.505285
"E02000894","Tower Hamlets 031",-0.020318,51.490031
"E02000908","Waltham Forest 014",-0.037066,51.588676
"E02000910","Waltham Forest 016",-0.018307,51.581526
"E02000911","Waltham Forest 017",-0.030893,51.581522
"E02000914","Waltham Forest 020",-0.013572,51.573919
"E02000921","Waltham Forest 027",0.001795,51.556113
"E02000922","Waltham Forest 028",0.011685,51.555638
"E02000924","Wandsworth 002",-0.145461,51.475693
"E02000926","Wandsworth 004",-0.173309,51.472146
"E02000930","Wandsworth 008",-0.165557,51.465110
"E02000932","Wandsworth 010",-0.205168,51.460948
"E02000934","Wandsworth 012",-0.178769,51.460514
"E02000938","Wandsworth 016",-0.232271,51.454363
"E02000941","Wandsworth 019",-0.185014,51.451150
"E02000948","Wandsworth 026",-0.146748,51.441451
"E02000957","Wandsworth 035",-0.164663,51.424215
"E02000961","Westminster 002",-0.184609,51.533508
"E02000962","Westminster 003",-0.175577,51.528961
"E02000963","Westminster 004",-0.208410,51.529216
"E02000964","Westminster 005",-0.200776,51.527552
"E02000966","Westminster 007",-0.183358,51.525467
"E02000967","Westminster 008",-0.159502,51.523243
"E02000968","Westminster 009",-0.170383,51.523665
"E02000969","Westminster 010",-0.194007,51.521558
"E02000970","Westminster 011",-0.151022,51.518703
"E02000971","Westminster 012",-0.162352,51.518332
"E02000972","Westminster 013",-0.140063,51.518458
"E02000973","Westminster 014",-0.194474,51.517051
